08-07-2026 21:15:42 RAM 2063/7607MB (lfb 14x4MB) SWAP 0/3804MB (cached 0MB) CPU [37%@1728,39%@1728,40%@1728,38%@1728,39%@729,41%@729] GR3D_FREQ 0% cpu@54.531C soc2@53.375C soc0@53.125C gpu@53.843C tj@55.312C soc1@55.312C VDD_IN 8160mW/8147mW VDD_CPU_GPU_CV 1388mW/1404mW VDD_SOC 2941mW/2960mW
08-07-2026 21:15:47 RAM 2064/7607MB (lfb 14x4MB) SWAP 0/3804MB (cached 0MB) CPU [41%@960,39%@960,37%@960,39%@960,37%@1728,38%@1728] GR3D_FREQ 0% cpu@54.718C soc2@53.406C soc0@53.062C gpu@54.093C tj@55.218C soc1@55.218C VDD_IN 8120mW/8146mW VDD_CPU_GPU_CV 1388mW/1404mW VDD_SOC 2941mW/2959mW
08-07-2026 21:15:52 RAM 2063/7607MB (lfb 14x4MB) SWAP 0/3804MB (cached 0MB) CPU [39%@729,41%@729,38%@729,38%@729,37%@729,39%@729] GR3D_FREQ 0% cpu@54.406C soc2@53.375C soc0@53.156C gpu@53.937C tj@55.406C soc1@55.406C VDD_IN 8120mW/8146mW VDD_CPU_GPU_CV 1391mW/1404mW VDD_SOC 2941mW/2959mW
08-07-2026 21:15:57 RAM 2062/7607MB (lfb 14x4MB) SWAP 0/3804MB (cached 0MB) CPU [38%@729,40%@729,41%@729,38%@729,38%@729,38%@729] GR3D_FREQ 0% cpu@54.531C soc2@53.375C soc0@52.937C gpu@54.093C tj@55.531C soc1@55.531C VDD_IN 8120mW/8145mW VDD_CPU_GPU_CV 1388mW/1403mW VDD_SOC 2941mW/2959mW
08-07-2026 21:16:02 RAM 2072/7607MB (lfb 11x4MB) SWAP 0/3804MB (cached 0MB) CPU [38%@729,41%@729,41%@729,38%@729,37%@729,37%@729] GR3D_FREQ 0% cpu@54.25C soc2@53.375C soc0@53.156C gpu@53.875C tj@55.312C soc1@55.406C VDD_IN 8120mW/8145mW VDD_CPU_GPU_CV 1391mW/1403mW VDD_SOC 2941mW/2958mW
08-07-2026 21:16:07 RAM 2069/7607MB (lfb 11x4MB) SWAP 0/3804MB (cached 0MB) CPU [40%@729,39%@729,38%@1728,41%@1728,38%@806,39%@806] GR3D_FREQ 0% cpu@54.468C soc2@53.281C soc0@52.968C gpu@54.093C tj@55.218C soc1@55.218C VDD_IN 8120mW/8145mW VDD_CPU_GPU_CV 1391mW/1403mW VDD_SOC 2941mW/2958mW
08-07-2026 21:16:12 RAM 2080/7607MB (lfb 9x4MB) SWAP 0/3804MB (cached 0MB) CPU [39%@729,42%@729,40%@729,38%@729,38%@729,36%@729] GR3D_FREQ 0% cpu@54.343C soc2@53.343C soc0@53.125C gpu@53.875C tj@55.375C soc1@55.375C VDD_IN 8120mW/8144mW VDD_CPU_GPU_CV 1388mW/1403mW VDD_SOC 2941mW/2958mW
08-07-2026 21:16:17 RAM 2080/7607MB (lfb 9x4MB) SWAP 0/3804MB (cached 0MB) CPU [40%@1728,38%@1728,38%@1728,38%@1728,37%@806,41%@806] GR3D_FREQ 0% cpu@54.562C soc2@53.281C soc0@53C gpu@53.75C tj@55.156C soc1@55.156C VDD_IN 8120mW/8144mW VDD_CPU_GPU_CV 1391mW/1402mW VDD_SOC 2941mW/2958mW
08-07-2026 21:16:22 RAM 2092/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [38%@806,40%@806,39%@806,40%@806,35%@729,38%@729] GR3D_FREQ 0% cpu@54.406C soc2@53.25C soc0@53.093C gpu@53.718C tj@55.187C soc1@55.281C VDD_IN 8120mW/8143mW VDD_CPU_GPU_CV 1391mW/1402mW VDD_SOC 2941mW/2957mW
08-07-2026 21:16:27 RAM 2093/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [39%@729,38%@729,37%@729,37%@729,39%@729,39%@729] GR3D_FREQ 0% cpu@54.812C soc2@53.375C soc0@52.937C gpu@53.968C tj@55.093C soc1@55.093C VDD_IN 8120mW/8143mW VDD_CPU_GPU_CV 1391mW/1402mW VDD_SOC 2941mW/2957mW
